Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_testcase_002_Excel,Chrome 121.0.0.0,,,07-02-2024 12:15:03,07-02-2024 12:15:12,9.792s,PASSED
,,,,,,,
Test Cases/Amazon_testcase_002,Chrome 121.0.0.0,,,07-02-2024 12:15:03,07-02-2024 12:15:12,9.718s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,07-02-2024 12:15:03,07-02-2024 12:15:05,1.924s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,07-02-2024 12:15:05,07-02-2024 12:15:05,0.639s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,07-02-2024 12:15:05,07-02-2024 12:15:07,1.526s,PASSED
"click(findTestObject(""Object Repository/Amazon_testcase_002_OR/span_Hello, sign in""))",Chrome 121.0.0.0,,,07-02-2024 12:15:07,07-02-2024 12:15:08,1.323s,PASSED
"setText(findTestObject(""Amazon_testcase_002_button_OR/input_Email or mobile phone number_email""), PhoneNo)",Chrome 121.0.0.0,,,07-02-2024 12:15:08,07-02-2024 12:15:10,1.805s,PASSED
"click(findTestObject(""Object Repository/Amazon_testcase_002_OR/inputcontinue""))",Chrome 121.0.0.0,,,07-02-2024 12:15:10,07-02-2024 12:15:11,1.008s,PASSED
"setEncryptedText(findTestObject(""Amazon_testcase_002_button_OR/input_Forgot your password_password""), ""sWIDqSuYDTb6OdfrXQbw6w=="")",Chrome 121.0.0.0,,,07-02-2024 12:15:11,07-02-2024 12:15:12,1.054s,PASSED
"click(findTestObject(""Object Repository/Amazon_testcase_002_OR/inputsignInSubmit""))",Chrome 121.0.0.0,,,07-02-2024 12:15:12,07-02-2024 12:15:12,0.266s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,07-02-2024 12:15:12,07-02-2024 12:15:12,0.100s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,07-02-2024 12:15:12,07-02-2024 12:15:12,0.003s,PASSED
