Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_testcase_003_Excel,Chrome 121.0.0.0,,,07-02-2024 19:06:02,07-02-2024 19:07:31,1m - 28.377s,FAILED
,,,,,,,
Test Cases/Amazon_testcase_003,Chrome 121.0.0.0,,,07-02-2024 19:07:12,07-02-2024 19:07:31,19.134s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,07-02-2024 19:07:12,07-02-2024 19:07:14,2.376s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,07-02-2024 19:07:14,07-02-2024 19:07:16,2.366s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,07-02-2024 19:07:16,07-02-2024 19:07:17,0.628s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,07-02-2024 19:07:17,07-02-2024 19:07:18,0.760s,PASSED
"click(findTestObject(""Object Repository/Amazon_testcase_003_OR/span_Hello, sign in""))",Chrome 121.0.0.0,,,07-02-2024 19:07:18,07-02-2024 19:07:28,9.905s,PASSED
"setText(findTestObject(""Amazon_testcase_003_button_OR/input_Email or mobile phone number_email""), PhoneNo)",Chrome 121.0.0.0,,,07-02-2024 19:07:28,07-02-2024 19:07:29,1.794s,PASSED
"click(findTestObject(""Object Repository/Amazon_testcase_003_OR/inputcontinue""))",Chrome 121.0.0.0,,,07-02-2024 19:07:29,07-02-2024 19:07:30,1.032s,PASSED
"setEncryptedText(findTestObject(""Amazon_testcase_003_button_OR/input_Forgot your password_password""), Password)",Chrome 121.0.0.0,,,07-02-2024 19:07:30,07-02-2024 19:07:31,0.145s,FAILED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,07-02-2024 19:07:31,07-02-2024 19:07:31,0.116s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,07-02-2024 19:07:31,07-02-2024 19:07:31,0.002s,PASSED
