Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_testcase_004_Excel,Chrome 121.0.0.0,,,07-02-2024 20:15:07,07-02-2024 20:15:36,28.721s,PASSED
,,,,,,,
Test Cases/Amazon_testcase_004,Chrome 121.0.0.0,,,07-02-2024 20:15:07,07-02-2024 20:15:36,28.636s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,07-02-2024 20:15:07,07-02-2024 20:15:10,2.881s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,07-02-2024 20:15:10,07-02-2024 20:15:12,2.212s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,07-02-2024 20:15:12,07-02-2024 20:15:14,1.432s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,07-02-2024 20:15:14,07-02-2024 20:15:14,0.609s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,07-02-2024 20:15:14,07-02-2024 20:15:15,0.782s,PASSED
"click(findTestObject(""Object Repository/Amazon_testcase_004_OR/span_Hello, sign in""))",Chrome 121.0.0.0,,,07-02-2024 20:15:15,07-02-2024 20:15:26,11.426s,PASSED
"setText(findTestObject(""Object Repository/Amazon_testcase_004_OR/input_email""), PhoneNo)",Chrome 121.0.0.0,,,07-02-2024 20:15:26,07-02-2024 20:15:28,1.513s,PASSED
"click(findTestObject(""Object Repository/Amazon_testcase_004_OR/inputcontinue""))",Chrome 121.0.0.0,,,07-02-2024 20:15:28,07-02-2024 20:15:29,1.024s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazon_testcase_004_OR/input_password""), ""sWIDqSuYDTb6OdfrXQbw6w=="")",Chrome 121.0.0.0,,,07-02-2024 20:15:29,07-02-2024 20:15:30,1.039s,PASSED
"click(findTestObject(""Object Repository/Amazon_testcase_004_OR/inputsignInSubmit""))",Chrome 121.0.0.0,,,07-02-2024 20:15:30,07-02-2024 20:15:30,0.283s,PASSED
"click(findTestObject(""Object Repository/Amazon_testcase_004_OR/span_Hyderabad 500058""))",Chrome 121.0.0.0,,,07-02-2024 20:15:30,07-02-2024 20:15:33,2.491s,PASSED
"setText(findTestObject(""Amazon_testcase_004_button_OR/input_or enter a US zip code_GLUXZipUpdateInput""), PinCode)",Chrome 121.0.0.0,,,07-02-2024 20:15:33,07-02-2024 20:15:35,1.699s,PASSED
"click(findTestObject(""Amazon_testcase_004_OR/input_a-button-input""))",Chrome 121.0.0.0,,,07-02-2024 20:15:35,07-02-2024 20:15:36,1.039s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,07-02-2024 20:15:36,07-02-2024 20:15:36,0.125s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,07-02-2024 20:15:36,07-02-2024 20:15:36,0.003s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,07-02-2024 20:15:36,07-02-2024 20:15:36,0.002s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,07-02-2024 20:15:36,07-02-2024 20:15:36,0.002s,PASSED
