Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_testcase_004_testlisteners,Chrome 121.0.0.0,,,07-02-2024 20:21:26,07-02-2024 20:21:51,24.805s,PASSED
,,,,,,,
Test Cases/Amazon_testcase_004,Chrome 121.0.0.0,,,07-02-2024 20:21:26,07-02-2024 20:21:51,24.725s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,07-02-2024 20:21:26,07-02-2024 20:21:29,2.295s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,07-02-2024 20:21:29,07-02-2024 20:21:31,2.230s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,07-02-2024 20:21:31,07-02-2024 20:21:32,1.346s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,07-02-2024 20:21:32,07-02-2024 20:21:34,1.385s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,07-02-2024 20:21:34,07-02-2024 20:21:34,0.606s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,07-02-2024 20:21:34,07-02-2024 20:21:36,1.557s,PASSED
"click(findTestObject(""Object Repository/Amazon_testcase_004_OR/span_Hello, sign in""))",Chrome 121.0.0.0,,,07-02-2024 20:21:36,07-02-2024 20:21:37,1.093s,PASSED
"setText(findTestObject(""Object Repository/Amazon_testcase_004_OR/input_email""), PhoneNo)",Chrome 121.0.0.0,,,07-02-2024 20:21:37,07-02-2024 20:21:39,1.893s,PASSED
"click(findTestObject(""Object Repository/Amazon_testcase_004_OR/inputcontinue""))",Chrome 121.0.0.0,,,07-02-2024 20:21:39,07-02-2024 20:21:40,1.036s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazon_testcase_004_OR/input_password""), ""sWIDqSuYDTb6OdfrXQbw6w=="")",Chrome 121.0.0.0,,,07-02-2024 20:21:40,07-02-2024 20:21:41,1.064s,PASSED
"click(findTestObject(""Object Repository/Amazon_testcase_004_OR/inputsignInSubmit""))",Chrome 121.0.0.0,,,07-02-2024 20:21:41,07-02-2024 20:21:41,0.269s,PASSED
"click(findTestObject(""Object Repository/Amazon_testcase_004_OR/span_Hyderabad 500058""))",Chrome 121.0.0.0,,,07-02-2024 20:21:41,07-02-2024 20:21:45,3.512s,PASSED
"setText(findTestObject(""Amazon_testcase_004_button_OR/input_or enter a US zip code_GLUXZipUpdateInput""), PinCode)",Chrome 121.0.0.0,,,07-02-2024 20:21:45,07-02-2024 20:21:46,1.646s,PASSED
"click(findTestObject(""Amazon_testcase_004_OR/input_a-button-input""))",Chrome 121.0.0.0,,,07-02-2024 20:21:46,07-02-2024 20:21:51,4.329s,PASSED
"verifyCheckpoint(findCheckpoint(""Checkpoints/Amazon_testcase_004_CP""), false)",Chrome 121.0.0.0,,,07-02-2024 20:21:51,07-02-2024 20:21:51,0.208s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,07-02-2024 20:21:51,07-02-2024 20:21:51,0.137s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,07-02-2024 20:21:51,07-02-2024 20:21:51,0.004s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,07-02-2024 20:21:51,07-02-2024 20:21:51,0.002s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,07-02-2024 20:21:51,07-02-2024 20:21:51,0.002s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,07-02-2024 20:21:51,07-02-2024 20:21:51,0.002s,PASSED
